"","Tanggal","Jumlah.Pengunjung"
"1",2016-01-01,357
"2",2016-01-02,308
"3",2016-01-03,379
"4",2016-01-04,355
"5",2016-01-05,273
"6",2016-01-06,298
"7",2016-01-07,250
"8",2016-01-08,254
"9",2016-01-09,253
"10",2016-01-10,357
"11",2016-01-11,272
"12",2016-01-12,343
"13",2016-01-13,311
"14",2016-01-14,271
"15",2016-01-15,391
"16",2016-01-16,377
"17",2016-01-17,384
"18",2016-01-18,390
"19",2016-01-19,363
"20",2016-01-20,321
"21",2016-01-21,371
"22",2016-01-22,355
"23",2016-01-23,381
"24",2016-01-24,375
"25",2016-01-25,291
"26",2016-01-26,289
"27",2016-01-27,351
"28",2016-01-28,324
"29",2016-01-29,341
"30",2016-01-30,362
"31",2016-01-31,399
"32",2016-02-01,507
"33",2016-02-02,455
"34",2016-02-03,479
"35",2016-02-04,559
"36",2016-02-05,456
"37",2016-02-06,486
"38",2016-02-07,570
"39",2016-02-08,490
"40",2016-02-09,598
"41",2016-02-10,569
"42",2016-02-11,570
"43",2016-02-12,443
"44",2016-02-13,530
"45",2016-02-14,550
"46",2016-02-15,533
"47",2016-02-16,576
"48",2016-02-17,588
"49",2016-02-18,590
"50",2016-02-19,550
"51",2016-02-20,591
"52",2016-02-21,571
"53",2016-02-22,500
"54",2016-02-23,581
"55",2016-02-24,585
"56",2016-02-25,577
"57",2016-02-26,588
"58",2016-02-27,551
"59",2016-02-28,579
"60",2016-02-29,598
"61",2016-03-01,407
"62",2016-03-02,455
"63",2016-03-03,479
"64",2016-03-04,459
"65",2016-03-05,456
"66",2016-03-06,486
"67",2016-03-07,470
"68",2016-03-08,490
"69",2016-03-09,498
"70",2016-03-10,469
"71",2016-03-11,470
"72",2016-03-12,499
"73",2016-03-13,430
"74",2016-03-14,470
"75",2016-03-15,533
"76",2016-03-16,576
"77",2016-03-17,588
"78",2016-03-18,590
"79",2016-03-19,550
"80",2016-03-20,591
"81",2016-03-21,571
"82",2016-03-22,500
"83",2016-03-23,581
"84",2016-03-24,585
"85",2016-03-25,577
"86",2016-03-26,588
"87",2016-03-27,551
"88",2016-03-28,579
"89",2016-03-29,598
"90",2016-03-30,600
"91",2016-03-31,671
"92",2016-04-01,407
"93",2016-04-02,455
"94",2016-04-03,437
"95",2016-04-04,459
"96",2016-04-05,456
"97",2016-04-06,447
"98",2016-04-07,435
"99",2016-04-08,457
"100",2016-04-09,459
"101",2016-04-10,429
"102",2016-04-11,430
"103",2016-04-12,460
"104",2016-04-13,430
"105",2016-04-14,470
"106",2016-04-15,497
"107",2016-04-16,476
"108",2016-04-17,488
"109",2016-04-18,490
"110",2016-04-19,450
"111",2016-04-20,491
"112",2016-04-21,567
"113",2016-04-22,500
"114",2016-04-23,559
"115",2016-04-24,585
"116",2016-04-25,570
"117",2016-04-26,588
"118",2016-04-27,551
"119",2016-04-28,579
"120",2016-04-29,598
"121",2016-04-30,600
"122",2016-05-01,576
"123",2016-05-02,502
"124",2016-05-03,547
"125",2016-05-04,460
"126",2016-05-05,582
"127",2016-05-06,536
"128",2016-05-07,497
"129",2016-05-08,476
"130",2016-05-09,488
"131",2016-05-10,574
"132",2016-05-11,583
"133",2016-05-12,561
"134",2016-05-13,567
"135",2016-05-14,542
"136",2016-05-15,559
"137",2016-05-16,585
"138",2016-05-17,570
"139",2016-05-18,588
"140",2016-05-19,551
"141",2016-05-20,579
"142",2016-05-21,568
"143",2016-05-22,600
"144",2016-05-23,567
"145",2016-05-24,557
"146",2016-05-25,548
"147",2016-05-26,575
"148",2016-05-27,592
"149",2016-05-28,447
"150",2016-05-29,535
"151",2016-05-30,457
"152",2016-05-31,459
"153",2016-06-01,459
"154",2016-06-02,458
"155",2016-06-03,450
"156",2016-06-04,460
"157",2016-06-05,431
"158",2016-06-06,440
"159",2016-06-07,461
"160",2016-06-08,460
"161",2016-06-09,476
"162",2016-06-10,487
"163",2016-06-11,441
"164",2016-06-12,431
"165",2016-06-13,411
"166",2016-06-14,349
