"","ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","daily","daily_lower","daily_upper","weekly","weekly_lower","weekly_upper","yearly","yearly_lower","yearly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
"1",2016-01-01,371.607081539635,91.9047243406084,91.9047243406084,91.9047243406084,58.9930973075968,58.9930973075968,58.9930973075968,0.233506004903491,0.233506004903491,0.233506004903491,32.6781210281081,32.6781210281081,32.6781210281081,0,0,0,283.440596621688,637.013152373428,371.607081539635,371.607081539635,463.511805880243
"2",2016-01-02,371.859914768177,66.0114866077352,66.0114866077352,66.0114866077352,58.9930973075968,58.9930973075968,58.9930973075968,-11.1872100813211,-11.1872100813211,-11.1872100813211,18.2055993814595,18.2055993814595,18.2055993814595,0,0,0,251.56212284965,620.012886945485,371.859914768177,371.859914768177,437.871401375912
"3",2016-01-03,372.112747996719,63.6885882174856,63.6885882174856,63.6885882174856,58.9930973075968,58.9930973075968,58.9930973075968,1.16983540369929,1.16983540369929,1.16983540369929,3.52565550618956,3.52565550618956,3.52565550618956,0,0,0,246.544003227195,617.561179767561,372.112747996719,372.112747996719,435.801336214205
"4",2016-01-04,372.365581225261,45.241508552511,45.241508552511,45.241508552511,58.9930973075968,58.9930973075968,58.9930973075968,-2.56867915121177,-2.56867915121177,-2.56867915121177,-11.182909603874,-11.182909603874,-11.182909603874,0,0,0,238.353830712826,599.336302303603,372.365581225261,372.365581225261,417.607089777772
"5",2016-01-05,372.618414453803,24.7875709403162,24.7875709403162,24.7875709403162,58.9930973075968,58.9930973075968,58.9930973075968,-8.46666815593736,-8.46666815593736,-8.46666815593736,-25.7388582113432,-25.7388582113432,-25.7388582113432,0,0,0,223.102488462133,582.059894651024,372.618414453803,372.618414453803,397.405985394119
"6",2016-01-06,372.871247682345,28.068093825194,28.068093825194,28.068093825194,58.9930973075968,58.9930973075968,58.9930973075968,9.03659837086165,9.03659837086165,9.03659837086165,-39.9616018532644,-39.9616018532644,-39.9616018532644,0,0,0,228.650300627876,575.719699540411,372.871247682345,372.871247682345,400.939341507539
"7",2016-01-07,373.124080910887,17.1014240750292,17.1014240750292,17.1014240750292,58.9930973075968,58.9930973075968,58.9930973075968,11.7826176089658,11.7826176089658,11.7826176089658,-53.6742908415334,-53.6742908415334,-53.6742908415334,0,0,0,207.394635843487,573.483373957869,373.124080910887,373.124080910887,390.225504985916
"8",2016-01-08,373.376914139429,-7.48024002964989,-7.48024002964989,-7.48024002964989,58.9930973075968,58.9930973075968,58.9930973075968,0.233506004889316,0.233506004889316,0.233506004889316,-66.706843342136,-66.706843342136,-66.706843342136,0,0,0,185.004591840407,540.974048726381,373.376914139429,373.376914139429,365.896674109779
"9",2016-01-09,373.629747367971,-31.0929641085633,-31.0929641085633,-31.0929641085633,58.9930973075968,58.9930973075968,58.9930973075968,-11.1872100813475,-11.1872100813475,-11.1872100813475,-78.8988513348126,-78.8988513348126,-78.8988513348126,0,0,0,163.117507280557,508.020191438574,373.629747367971,373.629747367971,342.536783259408
"10",2016-01-10,373.882580596513,-29.9393706928908,-29.9393706928908,-29.9393706928908,58.9930973075968,58.9930973075968,58.9930973075968,1.16983540371677,1.16983540371677,1.16983540371677,-90.1023034042044,-90.1023034042044,-90.1023034042044,0,0,0,181.801718697959,531.629364802874,373.882580596513,373.882580596513,343.943209903622
"11",2016-01-11,374.135413825055,-43.7596501877504,-43.7596501877504,-43.7596501877504,58.9930973075968,58.9930973075968,58.9930973075968,-2.56867915121466,-2.56867915121466,-2.56867915121466,-100.184068344133,-100.184068344133,-100.184068344133,0,0,0,145.830346286936,497.337238533776,374.135413825055,374.135413825055,330.375763637305
"12",2016-01-12,374.388247053597,-58.5016597217106,-58.5016597217106,-58.5016597217106,58.9930973075968,58.9930973075968,58.9930973075968,-8.46666815592096,-8.46666815592096,-8.46666815592096,-109.028088873386,-109.028088873386,-109.028088873386,0,0,0,134.433639466548,490.301387087701,374.388247053597,374.388247053597,315.886587331886
"13",2016-01-13,374.641080282139,-48.5075455594862,-48.5075455594862,-48.5075455594862,58.9930973075968,58.9930973075968,58.9930973075968,9.03659837086603,9.03659837086603,9.03659837086603,-116.537241237949,-116.537241237949,-116.537241237949,0,0,0,148.848039860644,502.608768929367,374.641080282139,374.641080282139,326.133534722653
"14",2016-01-14,374.893913510681,-51.8591090370865,-51.8591090370865,-51.8591090370865,58.9930973075968,58.9930973075968,58.9930973075968,11.7826176089703,11.7826176089703,11.7826176089703,-122.634823953654,-122.634823953654,-122.634823953654,0,0,0,135.824325157882,491.393232046686,374.893913510681,374.893913510681,323.034804473595
"15",2016-01-15,375.146746739223,-68.0390439363229,-68.0390439363229,-68.0390439363229,58.9930973075968,58.9930973075968,58.9930973075968,0.233506004915675,0.233506004915675,0.233506004915675,-127.265647248835,-127.265647248835,-127.265647248835,0,0,0,128.62992113254,477.699403502929,375.146746739223,375.146746739223,307.1077028029
"16",2016-01-16,375.399579967765,-82.590816467466,-82.590816467466,-82.590816467466,58.9930973075968,58.9930973075968,58.9930973075968,-11.1872100813297,-11.1872100813297,-11.1872100813297,-130.396703693733,-130.396703693733,-130.396703693733,0,0,0,120.495440126261,478.187493406729,375.399579967765,375.399579967765,292.808763500299
"17",2016-01-17,375.652413196307,-71.8544771312269,-71.8544771312269,-71.8544771312269,58.9930973075968,58.9930973075968,58.9930973075968,1.1698354037179,1.1698354037179,1.1698354037179,-132.017409842542,-132.017409842542,-132.017409842542,0,0,0,126.242989866517,489.974712673868,375.652413196307,375.652413196307,303.79793606508
"18",2016-01-18,375.905246424849,-75.7150000791699,-75.7150000791699,-75.7150000791699,58.9930973075968,58.9930973075968,58.9930973075968,-2.56867915121755,-2.56867915121755,-2.56867915121755,-132.139418235549,-132.139418235549,-132.139418235549,0,0,0,112.75774011765,486.07187053374,375.905246424849,375.905246424849,300.190246345679
"19",2016-01-19,376.158079653391,-80.2695794373973,-80.2695794373973,-80.2695794373973,58.9930973075968,58.9930973075968,58.9930973075968,-8.46666815594164,-8.46666815594164,-8.46666815594164,-130.796008589052,-130.796008589052,-130.796008589052,0,0,0,102.976295221181,479.100805032793,376.158079653391,376.158079653391,295.888500215994
"20",2016-01-20,376.410912881933,-60.0113805299213,-60.0113805299213,-60.0113805299213,58.9930973075968,58.9930973075968,58.9930973075968,9.03659837085692,9.03659837085692,9.03659837085692,-128.041076208375,-128.041076208375,-128.041076208375,0,0,0,140.22433254845,512.882679656088,376.410912881933,376.410912881933,316.399532352012
"21",2016-01-21,376.663746110475,-53.1720294627515,-53.1720294627515,-53.1720294627515,58.9930973075968,58.9930973075968,58.9930973075968,11.782617608968,11.782617608968,11.782617608968,-123.947744379316,-123.947744379316,-123.947744379316,0,0,0,138.321947341898,501.428737749555,376.663746110475,376.663746110475,323.491716647724
"22",2016-01-22,376.916579339017,-59.3800322024837,-59.3800322024837,-59.3800322024837,58.9930973075968,58.9930973075968,58.9930973075968,0.233506004897479,0.233506004897479,0.233506004897479,-118.606635514978,-118.606635514978,-118.606635514978,0,0,0,134.09183513329,503.850828549932,376.916579339017,376.916579339017,317.536547136533
"23",2016-01-23,377.169412567559,-64.317955748403,-64.317955748403,-64.317955748403,58.9930973075968,58.9930973075968,58.9930973075968,-11.1872100813345,-11.1872100813345,-11.1872100813345,-112.123842974665,-112.123842974665,-112.123842974665,0,0,0,137.270554294692,482.378557121302,377.169412567559,377.169412567559,312.851456819156
"24",2016-01-24,377.422245796101,-44.4557188477933,-44.4557188477933,-44.4557188477933,58.9930973075968,58.9930973075968,58.9930973075968,1.16983540373539,1.16983540373539,1.16983540373539,-104.618651559125,-104.618651559125,-104.618651559125,0,0,0,155.179724944195,519.328005723111,377.422245796101,377.422245796101,332.966526948308
"25",2016-01-25,377.675079024643,-39.7966414312189,-39.7966414312189,-39.7966414312189,58.9930973075968,58.9930973075968,58.9930973075968,-2.5686791512011,-2.5686791512011,-2.5686791512011,-96.2210595876146,-96.2210595876146,-96.2210595876146,0,0,0,174.241971246563,521.053743342035,377.675079024643,377.675079024643,337.878437593424
"26",2016-01-26,377.927912253185,-36.5427299139138,-36.5427299139138,-36.5427299139138,58.9930973075968,58.9930973075968,58.9930973075968,-8.46666815592524,-8.46666815592524,-8.46666815592524,-87.0691590655854,-87.0691590655854,-87.0691590655854,0,0,0,163.007881935079,520.267803686048,377.927912253185,377.927912253185,341.385182339271
"27",2016-01-27,378.180745481727,-9.2767370051953,-9.2767370051953,-9.2767370051953,58.9930973075968,58.9930973075968,58.9930973075968,9.0365983708613,9.0365983708613,9.0365983708613,-77.3064326836534,-77.3064326836534,-77.3064326836534,0,0,0,182.746747198355,542.789277972925,378.180745481727,378.180745481727,368.904008476532
"28",2016-01-28,378.433578710269,3.6966877085422,3.6966877085422,3.6966877085422,58.9930973075968,58.9930973075968,58.9930973075968,11.7826176089617,11.7826176089617,11.7826176089617,-67.0790272080163,-67.0790272080163,-67.0790272080163,0,0,0,207.411679846,562.203645066055,378.433578710269,378.433578710269,382.130266418811
"29",2016-01-29,378.686411938811,2.69354108881265,2.69354108881265,2.69354108881265,58.9930973075968,58.9930973075968,58.9930973075968,0.233506004887326,0.233506004887326,0.233506004887326,-56.5330622236715,-56.5330622236715,-56.5330622236715,0,0,0,202.273321144429,564.091134069176,378.686411938811,378.686411938811,381.379953027624
"30",2016-01-30,378.939245167353,1.99385602075281,1.99385602075281,1.99385602075281,58.9930973075968,58.9930973075968,58.9930973075968,-11.1872100813388,-11.1872100813388,-11.1872100813388,-45.8120312055052,-45.8120312055052,-45.8120312055052,0,0,0,197.587768924923,549.396852686325,378.939245167353,378.939245167353,380.933101188106
"31",2016-01-31,379.192078395895,25.1085841272735,25.1085841272735,25.1085841272735,58.9930973075968,58.9930973075968,58.9930973075968,1.1698354037068,1.1698354037068,1.1698354037068,-35.0543485840301,-35.0543485840301,-35.0543485840301,0,0,0,225.87434442696,584.048924630302,379.192078395895,379.192078395895,404.300662523169
"32",2016-02-01,379.444911624437,32.033326218927,32.033326218927,32.033326218927,58.9930973075968,58.9930973075968,58.9930973075968,-2.56867915122215,-2.56867915122215,-2.56867915122215,-24.3910919374477,-24.3910919374477,-24.3910919374477,0,0,0,241.463096348703,579.780345633584,379.444911624437,379.444911624437,411.478237843364
"33",2016-02-02,379.697744852979,36.5824463420787,36.5824463420787,36.5824463420787,58.9930973075968,58.9930973075968,58.9930973075968,-8.46666815594157,-8.46666815594157,-8.46666815594157,-13.9439828095765,-13.9439828095765,-13.9439828095765,0,0,0,245.929794042452,607.390030277803,379.697744852979,379.697744852979,416.280191195058
"34",2016-02-03,379.950578081521,64.2060526029122,64.2060526029122,64.2060526029122,58.9930973075968,58.9930973075968,58.9930973075968,9.03659837086567,9.03659837086567,9.03659837086567,-3.82364307555027,-3.82364307555027,-3.82364307555027,0,0,0,253.09468676195,611.989623489476,379.950578081521,379.950578081521,444.156630684433
"35",2016-02-04,380.203411310063,76.6475584844549,76.6475584844549,76.6475584844549,58.9930973075968,58.9930973075968,58.9930973075968,11.7826176089554,11.7826176089554,11.7826176089554,5.87184356790266,5.87184356790266,5.87184356790266,0,0,0,282.143053037927,629.797054070351,380.203411310063,380.203411310063,456.850969794518
"36",2016-02-05,380.456244538605,74.28464664536,74.28464664536,74.28464664536,58.9930973075968,58.9930973075968,58.9930973075968,0.233506004946175,0.233506004946175,0.233506004946175,15.058043332817,15.058043332817,15.058043332817,0,0,0,295.059229951605,641.553992061014,380.456244538605,380.456244538605,454.740891183965
"37",2016-02-06,380.709077767147,71.4708311515411,71.4708311515411,71.4708311515411,58.9930973075968,58.9930973075968,58.9930973075968,-11.1872100813323,-11.1872100813323,-11.1872100813323,23.6649439252766,23.6649439252766,23.6649439252766,0,0,0,271.204717127427,621.077979150791,380.709077767147,380.709077767147,452.179908918688
"38",2016-02-07,380.961910995689,91.8003137772062,91.8003137772062,91.8003137772062,58.9930973075968,58.9930973075968,58.9930973075968,1.16983540372429,1.16983540372429,1.16983540372429,31.6373810658851,31.6373810658851,31.6373810658851,0,0,0,305.965537607263,656.995792041291,380.961910995689,380.961910995689,472.762224772895
"39",2016-02-08,381.214744224231,95.3595415697894,95.3595415697894,95.3595415697894,58.9930973075968,58.9930973075968,58.9930973075968,-2.56867915120688,-2.56867915120688,-2.56867915120688,38.9351234133995,38.9351234133995,38.9351234133995,0,0,0,294.362223694945,651.992238491828,381.214744224231,381.214744224231,476.574285794021
"40",2016-02-09,381.467577452773,96.0590566292184,96.0590566292184,96.0590566292184,58.9930973075968,58.9930973075968,58.9930973075968,-8.46666815592517,-8.46666815592517,-8.46666815592517,45.5326274775468,45.5326274775468,45.5326274775468,0,0,0,299.551420133995,647.485286286813,381.467577452773,381.467577452773,477.526634081992
"41",2016-02-10,381.720410681315,119.448177432675,119.448177432675,119.448177432675,58.9930973075968,58.9930973075968,58.9930973075968,9.03659837085656,9.03659837085656,9.03659837085656,51.4184817542216,51.4184817542216,51.4184817542216,0,0,0,303.9875186773,678.242919012335,381.720410681315,381.720410681315,501.16858811399
"42",2016-02-11,381.973243909857,127.370281225569,127.370281225569,127.370281225569,58.9930973075968,58.9930973075968,58.9930973075968,11.7826176089639,11.7826176089639,11.7826176089639,56.5945663090086,56.5945663090086,56.5945663090086,0,0,0,339.088493874182,691.80684149978,381.973243909857,381.973243909857,509.343525135426
"43",2016-02-12,382.226077138399,120.301563514644,120.301563514644,120.301563514644,58.9930973075968,58.9930973075968,58.9930973075968,0.233506004936021,0.233506004936021,0.233506004936021,61.0749602021107,61.0749602021107,61.0749602021107,0,0,0,337.831180689874,692.482224117141,382.226077138399,382.226077138399,502.527640653043
"44",2016-02-13,382.478910366941,112.690521575981,112.690521575981,112.690521575981,58.9930973075968,58.9930973075968,58.9930973075968,-11.1872100813258,-11.1872100813258,-11.1872100813258,64.8846343497101,64.8846343497101,64.8846343497101,0,0,0,314.785589779588,664.07340341329,382.478910366941,382.478910366941,495.169431942922
"45",2016-02-14,382.731743595483,128.22090424582,128.22090424582,128.22090424582,58.9930973075968,58.9930973075968,58.9930973075968,1.16983540374176,1.16983540374176,1.16983540374176,68.0579715344819,68.0579715344819,68.0579715344819,0,0,0,340.416130487937,698.3204523757,382.731743595483,382.731743595483,510.952647841304
"46",2016-02-15,382.984576845854,127.061576383301,127.061576383301,127.061576383301,58.9930973075968,58.9930973075968,58.9930973075968,-2.56867915122793,-2.56867915122793,-2.56867915122793,70.6371582269321,70.6371582269321,70.6371582269321,0,0,0,331.155722834894,690.491103434152,382.984576845854,382.984576845854,510.046153229155
"47",2016-02-16,383.237410096224,123.196923755194,123.196923755194,123.196923755194,58.9930973075968,58.9930973075968,58.9930973075968,-8.46666815593549,-8.46666815593549,-8.46666815593549,72.6704946035328,72.6704946035328,72.6704946035328,0,0,0,328.137517809576,679.332392215838,383.237410096224,383.237410096224,506.434333851418
"48",2016-02-17,383.490243346594,142.240365304009,142.240365304009,142.240365304009,58.9930973075968,58.9930973075968,58.9930973075968,9.03659837086093,9.03659837086093,9.03659837086093,74.2106696255512,74.2106696255512,74.2106696255512,0,0,0,352.982393283665,703.17701723989,383.490243346594,383.490243346594,525.730608650603
